student_id,exercise_is_correct_ratio,exercise_completion_velocity,practice_problems_solved,quiz_score,avg_exercise_attempts,avg_exercise_execution_time_ms,predicted_pass_probability,risk_level
103,0.86,3.5,10,91.4,1.4,8219,0.0,HIGH
104,0.13,207.5,86,1.5,5.3,7236,0.133,HIGH
105,0.33,174.8,92,6.4,4.0,6705,0.414,MEDIUM
106,0.6,382.7,15,67.7,9.8,9503,0.722,LOW
107,0.33,75.8,54,11.6,5.8,6621,0.108,HIGH
108,0.23,255.6,15,54.2,9.9,860,0.101,HIGH
109,0.14,447.3,35,25.6,4.8,1190,0.284,HIGH
110,0.31,606.2,70,4.0,5.8,9503,0.789,LOW
111,0.68,128.3,44,50.1,8.4,6412,0.652,MEDIUM
112,0.92,551.5,28,48.7,6.0,7916,0.99,LOW
113,0.86,557.9,14,66.3,6.9,5072,0.985,LOW
114,0.94,451.1,16,27.8,5.8,6215,0.969,LOW
115,0.77,362.3,11,81.1,8.0,2471,0.927,LOW
116,0.86,329.2,38,61.2,5.8,9821,0.962,LOW
117,0.51,281.0,83,37.5,7.2,5616,0.82,LOW
118,0.96,447.9,33,91.8,2.0,4247,0.997,LOW
119,0.77,501.9,64,3.5,2.2,3107,0.984,LOW
120,0.44,470.6,4,21.8,8.2,625,0.471,MEDIUM
121,0.13,262.6,48,90.1,2.6,8547,0.333,HIGH
122,0.04,583.6,47,19.6,5.9,5751,0.309,HIGH
123,0.58,353.7,99,26.6,9.1,5824,0.922,LOW
124,0.03,430.9,27,93.7,9.8,2852,0.195,HIGH
125,0.81,357.1,36,85.0,4.4,3203,0.98,LOW
126,0.89,3.1,21,99.9,5.0,1652,0.0,HIGH
127,0.46,390.6,68,53.9,7.7,4955,0.85,LOW
128,0.28,119.1,25,14.6,1.9,8428,0.071,HIGH
129,0.82,579.4,9,92.5,4.2,2382,0.992,LOW
130,0.19,346.1,36,51.0,9.7,7388,0.171,HIGH
131,0.07,610.6,50,80.7,9.5,8638,0.548,MEDIUM
132,0.75,424.0,36,56.2,6.1,710,0.965,LOW
133,0.74,590.4,87,75.7,10.0,876,0.996,LOW
134,0.11,349.0,25,75.7,6.8,6774,0.168,HIGH
135,0.46,97.2,83,58.9,2.1,752,0.771,LOW
136,0.52,458.0,25,83.9,6.2,5150,0.885,LOW
137,0.64,615.5,79,61.4,6.2,9033,0.992,LOW
138,0.87,315.3,88,66.4,3.0,4969,0.995,LOW
139,0.6,352.5,72,99.5,4.2,2653,0.979,LOW
140,0.96,86.4,13,87.3,4.0,777,0.938,LOW
141,0.76,90.6,31,74.9,7.5,4974,0.761,LOW
142,0.86,3.7,47,94.5,4.6,4579,0.001,HIGH
143,0.54,277.9,28,23.6,5.9,3474,0.525,MEDIUM
144,0.79,469.7,40,62.8,7.9,7409,0.974,LOW
145,0.45,40.3,71,26.5,2.1,6370,0.4,HIGH
146,0.35,572.3,49,14.2,9.3,5489,0.664,MEDIUM
147,0.78,330.3,72,24.0,6.4,9793,0.95,LOW
148,0.72,420.9,17,72.8,7.1,9836,0.915,LOW
149,0.78,503.5,91,73.2,9.7,8143,0.994,LOW
150,0.35,442.5,50,1.8,1.4,2590,0.67,MEDIUM
151,0.98,531.6,44,74.8,6.5,8854,0.997,LOW
152,0.85,167.5,7,60.7,2.0,1587,0.887,LOW
153,0.69,172.3,0,34.8,9.5,2203,0.381,HIGH
154,0.32,347.3,22,39.6,8.8,2178,0.265,HIGH
155,0.31,326.7,19,15.4,5.8,4487,0.188,HIGH
156,0.85,3.4,46,94.4,6.4,3197,0.0,HIGH
157,0.73,224.2,72,20.4,7.8,3814,0.876,LOW
158,0.71,179.5,54,52.7,2.7,2283,0.907,LOW
159,0.73,40.9,8,41.0,5.2,8129,0.371,HIGH
160,0.22,434.3,38,96.6,3.1,6705,0.701,LOW
161,0.4,535.6,41,40.9,8.4,7845,0.744,LOW
162,0.72,242.5,83,89.0,5.9,1239,0.98,LOW
163,0.94,3.2,27,90.5,5.4,8993,0.0,HIGH
164,0.36,539.1,43,21.4,3.3,5701,0.767,LOW
165,0.1,612.5,51,3.8,4.7,2810,0.458,MEDIUM
166,0.88,3.3,41,97.7,9.9,5229,0.0,HIGH
167,0.59,514.6,39,5.8,3.4,8902,0.879,LOW
168,0.23,523.8,98,97.4,9.5,4197,0.929,LOW
169,0.67,508.7,43,94.8,8.5,7382,0.975,LOW
170,0.54,446.9,7,17.4,4.9,9017,0.602,MEDIUM
171,0.79,505.5,27,84.3,3.1,6932,0.988,LOW
172,0.42,498.4,25,90.0,7.9,4614,0.836,LOW
173,1.0,105.2,24,91.9,2.9,6340,0.966,LOW
174,0.5,371.2,55,43.0,6.4,4431,0.814,LOW
175,0.37,216.8,90,27.3,2.4,6871,0.668,MEDIUM
176,0.66,613.4,36,97.5,2.1,2305,0.993,LOW
177,0.34,186.8,89,17.8,7.5,4956,0.406,MEDIUM
178,0.87,453.2,66,95.9,1.0,7389,0.998,LOW
179,0.97,260.6,35,42.3,8.7,8840,0.945,LOW
180,0.93,1.6,10,92.9,9.6,8671,0.0,HIGH
181,0.16,580.1,68,57.1,1.3,3890,0.856,LOW
182,0.61,492.0,68,3.4,10.0,6952,0.89,LOW
183,0.93,405.9,19,41.0,9.2,8229,0.951,LOW
184,0.35,544.8,43,47.1,8.7,7453,0.716,LOW
185,0.25,575.2,92,15.7,8.1,2130,0.835,LOW
186,0.52,284.4,3,61.7,5.7,530,0.555,MEDIUM
187,0.9,91.6,25,89.9,7.9,3860,0.895,LOW
188,0.08,469.4,28,36.9,7.8,8125,0.14,HIGH
189,0.36,394.3,99,61.2,4.8,8698,0.905,LOW
190,0.0,574.5,97,46.4,6.2,3262,0.701,LOW
191,0.49,36.5,30,11.0,1.6,636,0.219,HIGH
192,0.8,577.6,63,14.1,9.6,9340,0.98,LOW
193,0.97,516.9,57,5.9,9.8,3344,0.989,LOW
194,0.34,602.0,96,54.2,4.5,6224,0.968,LOW
195,0.65,323.1,62,9.6,6.1,7676,0.836,LOW
196,0.27,250.6,15,49.4,2.5,9094,0.174,HIGH
197,0.69,245.6,66,26.0,4.1,5678,0.891,LOW
198,0.32,56.4,93,66.4,2.8,5895,0.523,MEDIUM
199,0.57,246.2,85,79.8,2.1,3575,0.958,LOW
200,0.53,187.3,56,35.6,5.6,6936,0.604,MEDIUM
201,0.11,364.9,64,77.7,8.8,1704,0.401,MEDIUM
202,0.46,104.2,59,44.0,2.0,8730,0.491,MEDIUM
203,0.83,461.5,74,53.8,1.0,2931,0.996,LOW
204,0.87,491.9,20,37.2,6.7,4150,0.972,LOW
205,0.92,362.3,12,28.0,8.0,3161,0.927,LOW
206,0.61,425.8,33,45.5,7.6,4085,0.865,LOW
207,0.77,42.0,90,99.2,9.9,5335,0.939,LOW
208,0.64,220.3,58,5.9,8.1,1993,0.68,MEDIUM
209,0.97,515.0,94,82.9,8.4,9134,0.999,LOW
210,0.02,578.4,59,22.2,3.8,4713,0.423,MEDIUM
211,0.47,415.1,14,83.8,1.3,6896,0.837,LOW
212,0.04,518.8,87,14.5,2.9,9632,0.493,MEDIUM
213,0.55,565.3,49,39.8,4.8,987,0.957,LOW
214,0.44,438.0,15,88.7,3.8,6980,0.803,LOW
215,0.3,321.8,75,48.3,6.6,1731,0.642,MEDIUM
216,0.96,444.2,72,99.1,4.2,6157,0.999,LOW
217,0.73,410.5,82,15.9,8.2,9024,0.958,LOW
218,0.9,350.9,98,22.7,6.8,4385,0.992,LOW
219,0.04,324.3,57,91.8,8.9,6442,0.223,HIGH
220,0.64,536.9,81,20.5,2.5,5168,0.984,LOW
221,0.05,188.7,10,92.2,2.0,5347,0.075,HIGH
222,0.77,349.5,92,20.7,1.9,5226,0.985,LOW
223,0.08,372.0,20,75.9,5.6,1918,0.192,HIGH
224,0.63,167.6,93,8.8,1.6,8019,0.868,LOW
225,0.6,245.6,70,96.1,2.7,4891,0.957,LOW
226,0.21,37.1,76,83.5,5.9,6365,0.22,HIGH
227,0.24,191.6,10,88.6,3.5,2198,0.201,HIGH
228,0.73,107.6,20,64.2,1.0,1426,0.803,LOW
229,0.11,427.3,97,20.8,6.2,3598,0.534,MEDIUM
230,0.75,492.7,89,59.3,3.2,7106,0.995,LOW
231,0.12,371.3,59,98.4,4.5,8882,0.529,MEDIUM
232,0.93,297.9,62,24.6,3.0,1589,0.985,LOW
233,0.95,93.7,33,81.5,7.8,5851,0.925,LOW
234,0.64,521.7,22,75.1,4.1,5599,0.961,LOW
235,0.87,480.1,78,13.5,3.3,7048,0.992,LOW
236,0.56,528.3,13,4.0,8.0,6304,0.672,MEDIUM
237,0.8,621.9,49,64.0,8.7,7010,0.992,LOW
238,0.58,180.4,31,74.9,6.1,9446,0.623,MEDIUM
239,0.89,326.0,96,87.8,9.3,3287,0.996,LOW
240,0.79,584.2,34,9.0,2.2,6609,0.98,LOW
241,0.57,615.7,70,75.5,1.9,6509,0.993,LOW
242,0.95,1.5,35,99.0,7.5,3207,0.001,HIGH
243,0.2,186.0,35,38.0,2.9,2251,0.14,HIGH
244,0.61,476.9,6,15.8,6.0,3086,0.752,LOW
245,0.95,108.5,64,79.6,8.8,8472,0.962,LOW
246,0.2,622.8,80,91.5,6.5,1587,0.944,LOW
247,0.63,593.5,96,19.0,7.7,4822,0.987,LOW
248,0.39,199.2,24,8.6,7.0,9275,0.111,HIGH
249,0.82,133.1,26,10.2,9.1,9444,0.537,MEDIUM
250,0.58,584.5,42,55.1,9.6,4127,0.947,LOW
251,0.88,497.8,47,94.1,2.4,8098,0.997,LOW
252,0.73,115.7,96,51.5,7.9,2368,0.93,LOW
253,0.53,212.2,57,55.1,1.9,4852,0.805,LOW
254,0.72,493.0,7,81.1,4.0,8168,0.958,LOW
255,0.75,58.1,5,54.7,5.0,9329,0.468,MEDIUM
256,0.52,380.2,22,96.6,7.8,8771,0.796,LOW
257,0.89,2.2,38,90.6,10.0,6881,0.0,HIGH
258,0.81,80.3,60,28.9,1.7,9935,0.857,LOW
259,0.42,162.7,83,87.2,8.2,9209,0.684,MEDIUM
260,0.4,275.5,60,54.1,1.7,5308,0.737,LOW
261,0.2,235.7,72,11.0,6.1,9281,0.167,HIGH
262,0.06,542.6,71,89.1,8.6,2652,0.698,MEDIUM
263,0.8,182.1,84,31.7,9.5,8964,0.91,LOW
264,0.83,488.8,74,64.2,2.2,1492,0.997,LOW
265,0.88,522.3,23,19.6,1.5,6617,0.983,LOW
266,0.76,176.0,82,91.6,2.5,8568,0.979,LOW
267,0.22,342.7,17,37.1,4.5,3755,0.19,HIGH
268,0.09,199.5,42,29.1,6.2,1785,0.06,HIGH
269,0.54,355.9,21,96.7,2.7,4664,0.882,LOW
270,0.72,397.8,36,98.8,3.7,6298,0.978,LOW
271,0.8,467.2,21,76.1,7.6,3111,0.973,LOW
272,0.04,88.0,0,49.8,7.1,8524,0.007,HIGH
273,0.15,433.5,85,0.1,2.6,2180,0.543,MEDIUM
274,0.6,101.8,77,35.5,3.4,2429,0.786,LOW
275,1.0,167.5,76,55.2,3.5,529,0.991,LOW
276,0.29,488.9,26,72.7,1.6,7002,0.728,LOW
277,0.83,359.1,93,26.0,7.6,8866,0.981,LOW
278,0.37,629.7,13,15.0,8.5,5491,0.581,MEDIUM
279,0.57,346.2,55,60.0,6.0,7544,0.881,LOW
280,0.27,615.5,52,12.7,5.2,9628,0.694,MEDIUM
281,0.58,352.2,5,5.0,5.8,8365,0.432,MEDIUM
282,0.26,566.9,36,11.8,2.7,9301,0.571,MEDIUM
283,0.16,392.4,46,40.8,7.7,8861,0.232,HIGH
284,0.79,580.8,70,32.7,6.2,6370,0.993,LOW
285,0.84,551.8,28,29.7,2.9,1606,0.988,LOW
286,0.61,272.1,67,91.8,8.2,9370,0.915,LOW
287,0.98,4.2,17,95.9,2.2,2852,0.001,HIGH
288,0.13,393.3,21,61.2,8.8,1744,0.171,HIGH
289,0.8,233.7,90,22.0,7.3,5886,0.952,LOW
290,0.45,337.0,72,44.9,6.8,3827,0.802,LOW
291,0.97,1.5,48,90.7,7.8,2202,0.001,HIGH
292,0.89,3.0,15,95.3,4.6,1294,0.0,HIGH
293,0.34,564.9,58,26.9,6.0,5302,0.809,LOW
294,0.22,109.7,29,41.8,3.5,1208,0.092,HIGH
295,0.8,424.8,0,9.2,1.3,9522,0.879,LOW
296,0.07,593.4,20,17.9,1.8,4809,0.307,HIGH
297,0.61,568.8,62,97.4,4.0,8425,0.991,LOW
298,1.0,198.3,47,11.8,5.5,2287,0.952,LOW
299,1.0,4.8,48,96.4,4.5,7387,0.001,HIGH
300,0.04,411.4,32,27.8,1.8,4893,0.151,HIGH
301,0.77,594.3,96,24.2,3.9,7944,0.996,LOW
302,0.84,137.0,98,22.8,6.2,3506,0.958,LOW
303,0.62,615.9,12,98.0,2.0,5212,0.982,LOW
304,0.59,215.0,88,89.6,8.9,1031,0.936,LOW
305,0.89,179.7,18,99.6,7.5,8976,0.92,LOW
306,0.92,259.2,18,7.7,5.1,2620,0.886,LOW
307,0.05,88.9,28,40.7,4.9,7660,0.018,HIGH
308,0.48,624.0,4,77.4,4.4,3410,0.914,LOW
309,0.05,71.1,7,93.1,3.9,5250,0.028,HIGH
310,0.9,473.7,57,5.2,6.9,3937,0.983,LOW
311,0.57,466.7,71,17.8,5.4,2301,0.938,LOW
312,0.12,451.5,29,62.8,2.8,7082,0.358,HIGH
313,0.26,88.2,37,56.3,5.2,2813,0.124,HIGH
314,0.85,540.7,11,85.4,4.2,9351,0.988,LOW
315,0.14,258.6,7,31.7,4.5,1772,0.058,HIGH
316,0.67,581.6,75,94.1,3.5,8052,0.996,LOW
317,0.5,131.4,77,57.8,5.7,2716,0.732,LOW
318,0.22,417.8,37,3.6,7.4,989,0.23,HIGH
319,0.35,487.8,45,80.2,9.5,4228,0.782,LOW
320,0.42,382.0,24,6.2,2.5,8056,0.437,MEDIUM
321,0.14,398.7,88,62.6,5.1,3892,0.676,MEDIUM
322,0.0,65.3,76,47.9,3.1,2865,0.07,HIGH
323,0.13,101.9,3,87.1,8.6,4086,0.029,HIGH
324,0.88,130.9,77,74.7,7.1,8801,0.966,LOW
325,0.61,54.1,41,47.8,8.7,2557,0.418,MEDIUM
326,0.27,454.8,58,65.3,6.3,9373,0.69,MEDIUM
327,0.58,305.2,92,1.3,9.3,1078,0.845,LOW
328,0.74,339.7,92,47.2,6.0,8002,0.979,LOW
329,0.34,32.1,88,59.9,5.5,1630,0.432,MEDIUM
330,0.29,373.8,79,7.6,5.0,9281,0.525,MEDIUM
331,0.96,157.7,82,46.4,7.2,8735,0.975,LOW
332,0.51,353.8,19,58.0,1.9,9561,0.726,LOW
333,0.6,446.3,94,29.2,9.7,9306,0.946,LOW
334,0.33,473.4,83,47.9,4.0,3475,0.899,LOW
335,0.31,97.5,64,87.0,9.9,8287,0.266,HIGH
336,0.01,99.7,65,94.3,8.9,1249,0.083,HIGH
337,0.47,112.3,2,90.0,1.4,8991,0.35,HIGH
338,0.39,256.9,18,56.4,6.1,3979,0.328,HIGH
339,0.92,375.6,29,73.8,1.8,8721,0.987,LOW
340,0.21,333.0,90,23.7,6.4,6920,0.468,MEDIUM
341,0.69,420.4,90,49.5,8.1,3370,0.981,LOW
342,0.7,407.4,70,80.6,8.8,6990,0.977,LOW
343,0.7,129.5,4,80.0,4.1,3479,0.689,MEDIUM
344,0.64,613.3,97,96.0,3.6,3789,0.998,LOW
345,0.56,524.1,0,80.9,5.4,4562,0.89,LOW
346,0.91,162.0,45,66.6,3.0,524,0.97,LOW
347,0.69,399.2,63,81.1,9.7,8240,0.963,LOW
348,0.11,432.1,25,79.0,5.5,7986,0.28,HIGH
349,0.44,94.9,42,32.0,9.7,1844,0.187,HIGH
350,0.09,625.2,81,81.1,7.7,4607,0.842,LOW
351,0.06,223.0,43,15.0,9.1,3706,0.032,HIGH
352,0.7,65.1,61,47.4,2.8,6208,0.808,LOW
353,0.24,355.1,92,7.1,7.9,8180,0.438,MEDIUM
354,0.68,436.7,84,27.0,3.4,5416,0.979,LOW
355,0.02,368.7,48,73.0,5.3,6157,0.218,HIGH
356,0.57,134.1,3,45.5,4.6,1661,0.34,HIGH
357,0.65,220.0,82,6.1,2.2,9722,0.865,LOW
358,0.74,251.6,3,44.0,7.0,1393,0.709,LOW
359,0.91,356.5,37,0.7,6.8,1013,0.948,LOW
360,0.83,493.3,21,3.4,5.2,885,0.952,LOW
361,0.34,432.4,23,50.0,9.2,2750,0.45,MEDIUM
362,0.52,54.2,50,23.8,1.7,7558,0.382,HIGH
363,0.95,467.3,68,99.8,9.4,9380,0.997,LOW
364,0.23,313.7,4,34.0,7.8,1886,0.095,HIGH
365,0.61,246.7,67,57.3,2.4,3511,0.924,LOW
366,0.27,322.7,9,60.9,3.6,6156,0.266,HIGH
367,0.06,359.0,64,16.1,6.3,9659,0.128,HIGH
368,0.19,118.4,49,24.1,4.2,2100,0.089,HIGH
369,0.99,252.8,12,59.1,7.0,1240,0.956,LOW
370,0.88,93.2,48,59.7,3.7,6454,0.921,LOW
371,0.94,93.7,66,73.8,6.4,6970,0.966,LOW
372,0.02,495.2,69,84.2,1.5,8962,0.657,MEDIUM
373,0.62,562.9,15,36.7,8.7,3327,0.881,LOW
374,0.13,390.8,79,59.5,6.3,4342,0.543,MEDIUM
375,0.26,623.6,90,60.7,2.6,3945,0.962,LOW
376,0.85,237.0,56,21.3,9.8,1193,0.906,LOW
377,0.89,528.0,82,20.8,8.2,8830,0.993,LOW
378,0.88,223.9,90,56.6,9.4,7429,0.978,LOW
379,0.75,152.6,83,78.1,7.4,2503,0.956,LOW
380,0.65,515.8,71,1.7,4.4,8374,0.958,LOW
381,0.0,220.7,83,51.6,5.6,7711,0.141,HIGH
382,0.26,605.5,96,43.4,7.3,3198,0.921,LOW
383,0.54,210.1,51,64.3,8.5,5887,0.666,MEDIUM
384,0.1,600.1,88,31.2,2.7,4225,0.811,LOW
385,0.92,86.9,57,66.4,7.9,7013,0.931,LOW
386,0.52,331.8,15,70.4,1.6,1983,0.793,LOW
387,0.05,410.9,17,91.0,5.3,3796,0.222,HIGH
388,0.75,587.1,82,74.9,5.6,6713,0.997,LOW
389,0.01,413.9,11,28.7,1.6,2799,0.088,HIGH
390,0.43,568.9,69,63.0,4.9,2408,0.963,LOW
391,0.61,56.8,90,8.1,3.7,1588,0.719,LOW
392,0.78,353.0,77,10.2,7.1,804,0.964,LOW
393,0.28,480.9,19,92.2,5.8,6778,0.639,MEDIUM
394,0.5,159.3,70,63.8,2.4,9029,0.762,LOW
395,0.38,516.8,94,59.8,9.4,6955,0.931,LOW
396,0.4,227.8,82,71.4,9.6,9365,0.641,MEDIUM
397,0.95,199.6,68,96.1,5.5,9285,0.989,LOW
398,0.44,309.6,52,39.0,7.0,4376,0.618,MEDIUM
399,0.39,136.9,10,80.0,8.7,9893,0.141,HIGH
400,0.65,180.3,73,69.8,6.9,4579,0.894,LOW
401,0.49,149.1,93,79.2,1.0,1967,0.919,LOW
402,0.47,453.0,32,57.7,6.1,6011,0.798,LOW
403,0.38,141.4,7,14.5,5.8,1154,0.081,HIGH
404,0.58,408.7,37,9.4,9.9,5166,0.667,MEDIUM
405,0.14,558.2,77,67.2,9.1,9401,0.699,MEDIUM
406,0.13,196.9,72,6.7,2.2,1183,0.162,HIGH
407,0.74,629.5,97,61.5,5.5,5488,0.998,LOW
408,0.64,120.0,72,5.4,2.7,2644,0.744,LOW
409,0.27,285.4,16,79.7,2.1,6880,0.357,HIGH
410,0.41,313.6,63,90.7,4.1,2968,0.868,LOW
411,0.98,364.4,71,82.3,4.1,7313,0.997,LOW
412,0.97,425.7,31,57.7,7.0,9117,0.985,LOW
413,0.34,530.7,92,94.2,2.1,7115,0.977,LOW
414,0.5,587.9,74,15.2,1.1,8655,0.963,LOW
415,0.48,494.9,46,23.6,1.5,3348,0.888,LOW
416,0.81,43.2,93,10.1,1.9,7049,0.908,LOW
417,0.54,424.8,97,15.5,5.3,3821,0.948,LOW
418,0.05,333.7,87,60.8,1.4,2269,0.551,MEDIUM
419,0.78,377.3,51,42.8,8.3,8293,0.945,LOW
420,0.48,138.4,93,5.3,1.3,814,0.725,LOW
421,0.91,617.4,92,3.7,6.5,1468,0.998,LOW
422,0.69,437.3,87,23.1,5.3,8079,0.974,LOW
423,0.85,596.5,45,68.9,2.3,9424,0.996,LOW
424,0.03,59.8,77,3.3,3.3,9773,0.028,HIGH
425,0.02,231.9,2,27.9,2.4,8707,0.018,HIGH
426,0.28,478.3,18,11.3,3.4,1900,0.397,HIGH
427,0.74,627.0,81,40.3,4.7,953,0.996,LOW
428,0.99,540.5,79,82.2,1.4,6934,0.999,LOW
429,0.32,572.9,93,94.1,1.6,5114,0.983,LOW
430,0.31,112.7,90,76.9,1.4,6294,0.664,MEDIUM
431,0.89,173.9,71,91.7,8.3,2485,0.981,LOW
432,0.22,147.0,96,3.0,2.4,1322,0.311,HIGH
433,0.64,371.2,51,13.8,6.5,9024,0.82,LOW
434,0.92,3.4,34,94.3,7.9,3188,0.0,HIGH
435,0.95,357.2,71,16.2,5.0,8593,0.986,LOW
